global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
2988,2764,Street/Location,Sudarshan store,0.2,1,1,0,0.20085948399472617,1
2989,2772,Street/Location,Bhadrappa Layout Flyover,0.19,1,1,0,0.19491283896699693,1
2990,2770,Street/Location,Pettigrove Road,0.19,1,1,0,0.19512457075406586,1
2991,2771,Street/Location,Univer Cell,0.19,1,1,0,0.19521924864560464,1
2992,2773,Street/Location,VP Park Emission Testing Center,0.19,1,1,0,0.19669491607628808,1
2993,2768,Street/Location,RNS Motors,0.19,1,1,0,0.19911325411242087,1
2994,2769,Street/Location,1st Main Mico Layout,0.19,1,1,0,0.19938481057656857,1
2995,2777,Street/Location,Shanti Nagar,0.18,1,1,0,0.1857862610815106,1
2996,2775,Street/Location,Netaji Subhash Chandra Bose Road,0.18,1,1,0,0.19029923969212914,1
2997,2774,Street/Location,57th B Cross Road,0.18,1,1,0,0.1876148664651378,1
2998,2776,Street/Location,Chamarajapete,0.18,1,1,0,0.19044875942369593,1
2999,2782,Street/Location,BNE MD 236,0.17,1,1,0,0.17913182350881718,1
3000,2778,Street/Location,Mekhri Circle,0.17,1,1,0,0.1750777006298344,1
3001,2781,Street/Location,Hotel Dwaraka,0.17,1,1,0,0.17735312099064163,1
3002,2783,Street/Location,Petti Crew Street,0.17,1,1,0,0.17335126664726655,1
3003,2780,Street/Location,Platform 16,0.17,1,1,0,0.17698478686809155,1
3004,2779,Street/Location,Bashyam Circle,0.17,1,1,0,0.1748958019182644,1
3005,2784,Street/Location,Deepika Tours & Travels,0.17,1,1,0,0.17513028435838524,1
3006,2792,Street/Location,WeWork,0.16,1,1,0,0.17085070055833615,1
3007,2793,Street/Location,141,0.16,1,1,0,0.16694542773492496,1
3008,2794,Street/Location,NH 44,0.16,1,1,0,0.16601860808672508,1
3009,2795,Street/Location,CSI Hospital,0.16,1,1,0,0.1676875085179038,1
3010,2791,Street/Location,Someshwaranagar,0.16,1,1,0,0.17095729337778973,1
3011,2790,Street/Location,Mantri Espana,0.16,1,1,0,0.17158635695726518,1
3012,2789,Street/Location,20th C Main Road,0.16,1,1,0,0.17092570338897836,1
3013,2788,Street/Location,P Garden Road,0.16,1,1,0,0.17122604411579728,1
3014,2787,Street/Location,Chikkabidarakallu Main Road,0.16,1,1,0,0.16981587790913152,1
3015,2785,Street/Location,N Narayanappa Layout,0.16,1,1,0,0.1673083268937369,1
3016,2786,Street/Location,Krishna Rajendra City Market,0.16,1,1,0,0.17116277066354635,1
